Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,COMMENT_OBS,GeoCode,Value
2016,NE_CON_GOVT_KD_ZG,,PT,A,0,2023,Economic Survey,,,5.3
2017,NE_CON_GOVT_KD_ZG,,PT,A,0,2023,Economic Survey,,,6.2
2018,NE_CON_GOVT_KD_ZG,,PT,A,0,2023,Economic Survey,,,7.0
2019,NE_CON_GOVT_KD_ZG,,PT,A,0,2023,Economic Survey,,,5.6
2020,NE_CON_GOVT_KD_ZG,,PT,A,0,2023,Economic Survey,,,3.1
2021,NE_CON_GOVT_KD_ZG,,PT,A,0,2023,Economic Survey,,,6.0
2022,NE_CON_GOVT_KD_ZG,,PT,A,0,2023,Economic Survey,,,8.1
2023,NE_CON_GOVT_KD_ZG,,PT,A,0,2023,Economic Survey,,,3.5
2014,NE_CON_PRVT_KD_ZG,,PT,A,0,2023,Economic Survey,Includes private final consumption and final consumption by NPISH,,4.3
2015,NE_CON_PRVT_KD_ZG,,PT,A,0,2023,Economic Survey,Includes private final consumption and final consumption by NPISH,,6.1
2016,NE_CON_PRVT_KD_ZG,,PT,A,0,2023,Economic Survey,Includes private final consumption and final consumption by NPISH,,4.5
2017,NE_CON_PRVT_KD_ZG,,PT,A,0,2023,Economic Survey,Includes private final consumption and final consumption by NPISH,,4.9
2018,NE_CON_PRVT_KD_ZG,,PT,A,0,2023,Economic Survey,Includes private final consumption and final consumption by NPISH,,4.7
2019,NE_CON_PRVT_KD_ZG,,PT,A,0,2023,Economic Survey,Includes private final consumption and final consumption by NPISH,,5.0
2020,NE_CON_PRVT_KD_ZG,,PT,A,0,2023,Economic Survey,Includes private final consumption and final consumption by NPISH,,-1.5
2021,NE_CON_PRVT_KD_ZG,,PT,A,0,2023,Economic Survey,Includes private final consumption and final consumption by NPISH,,6.2
2022,NE_CON_PRVT_KD_ZG,,PT,A,0,2023,Economic Survey,Includes private final consumption and final consumption by NPISH,,3.3
2023,NE_CON_PRVT_KD_ZG,,PT,A,0,2023,Economic Survey,Includes private final consumption and final consumption by NPISH,,6.2
2014,NE_EXP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,1.9
2015,NE_EXP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,-2.2
2016,NE_EXP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,-6.6
2017,NE_EXP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,-1.0
2018,NE_EXP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,6.8
2019,NE_EXP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,-3.2
2020,NE_EXP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,-14.9
2021,NE_EXP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,15.3
2022,NE_EXP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,27.0
2023,NE_EXP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,7.4
2014,NE_GDI_TOTL_KD_ZG,,PT,A,0,2023,Economic Survey,This includes Gross Fixed Capital Formation and Changes in Inventories,,19.9
2015,NE_GDI_TOTL_KD_ZG,,PT,A,0,2023,Economic Survey,This includes Gross Fixed Capital Formation and Changes in Inventories,,0.1
2016,NE_GDI_TOTL_KD_ZG,,PT,A,0,2023,Economic Survey,This includes Gross Fixed Capital Formation and Changes in Inventories,,-3.9
2017,NE_GDI_TOTL_KD_ZG,,PT,A,0,2023,Economic Survey,This includes Gross Fixed Capital Formation and Changes in Inventories,,12.0
2018,NE_GDI_TOTL_KD_ZG,,PT,A,0,2023,Economic Survey,This includes Gross Fixed Capital Formation and Changes in Inventories,,-2.3
2019,NE_GDI_TOTL_KD_ZG,,PT,A,0,2023,Economic Survey,This includes Gross Fixed Capital Formation and Changes in Inventories,,5.3
2020,NE_GDI_TOTL_KD_ZG,,PT,A,0,2023,Economic Survey,This includes Gross Fixed Capital Formation and Changes in Inventories,,2.2
2021,NE_GDI_TOTL_KD_ZG,,PT,A,0,2023,Economic Survey,This includes Gross Fixed Capital Formation and Changes in Inventories,,13.4
2022,NE_GDI_TOTL_KD_ZG,,PT,A,0,2023,Economic Survey,This includes Gross Fixed Capital Formation and Changes in Inventories,,-2.6
2023,NE_GDI_TOTL_KD_ZG,,PT,A,0,2023,Economic Survey,This includes Gross Fixed Capital Formation and Changes in Inventories,,-5.5
2014,NE_IMP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,11.3
2015,NE_IMP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,-4.6
