Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2022,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,,2.3
2023,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,,7.5
2024,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,,6.9
2014,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,,3.8
2015,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,,13.6
2016,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,,5.3
2017,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,,6.2
2018,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,,7.0
2019,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,,5.6
2020,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,,3.1
2021,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,,6.0
2022,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,,8.1
2023,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,,2.0
2024,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,,0.4
2014,Annual growth of exports of goods and services (%) [17.13.1],,Percent,,1.9
2015,Annual growth of exports of goods and services (%) [17.13.1],,Percent,,-2.2
2016,Annual growth of exports of goods and services (%) [17.13.1],,Percent,,-6.6
2017,Annual growth of exports of goods and services (%) [17.13.1],,Percent,,-1.0
2018,Annual growth of exports of goods and services (%) [17.13.1],,Percent,,6.8
2019,Annual growth of exports of goods and services (%) [17.13.1],,Percent,,-3.2
2020,Annual growth of exports of goods and services (%) [17.13.1],,Percent,,9.5
2021,Annual growth of exports of goods and services (%) [17.13.1],,Percent,,16.6
2022,Annual growth of exports of goods and services (%) [17.13.1],,Percent,,20.8
2023,Annual growth of exports of goods and services (%) [17.13.1],,Percent,,11.7
2024,Annual growth of exports of goods and services (%) [17.13.1],,Percent,,7.5
2014,Annual growth of imports of goods and services (%) [17.13.1],,Percent,,11.3
2015,Annual growth of imports of goods and services (%) [17.13.1],,Percent,,-4.6
2016,Annual growth of imports of goods and services (%) [17.13.1],,Percent,,-7.4
2017,Annual growth of imports of goods and services (%) [17.13.1],,Percent,,12.4
2018,Annual growth of imports of goods and services (%) [17.13.1],,Percent,,1.4
2019,Annual growth of imports of goods and services (%) [17.13.1],,Percent,,1.8
2020,Annual growth of imports of goods and services (%) [17.13.1],,Percent,,-2.2
2021,Annual growth of imports of goods and services (%) [17.13.1],,Percent,,23.1
2022,Annual growth of imports of goods and services (%) [17.13.1],,Percent,,10.9
2023,Annual growth of imports of goods and services (%) [17.13.1],,Percent,,1.3
2024,Annual growth of imports of goods and services (%) [17.13.1],,Percent,,2.7
2014,"Annual inflation, consumer prices (%) [17.13.1]",,Index,,149.7
2015,"Annual inflation, consumer prices (%) [17.13.1]",,Index,,159.6
2016,"Annual inflation, consumer prices (%) [17.13.1]",,Index,,86.7
2017,"Annual inflation, consumer prices (%) [17.13.1]",,Index,,93.6
2018,"Annual inflation, consumer prices (%) [17.13.1]",,Index,,98.0
2019,"Annual inflation, consumer prices (%) [17.13.1]",,Index,,103.2
2020,"Annual inflation, consumer prices (%) [17.13.1]",,Index,,108.7
2021,"Annual inflation, consumer prices (%) [17.13.1]",,Index,,115.3
2022,"Annual inflation, consumer prices (%) [17.13.1]",,Index,,124.2
2023,"Annual inflation, consumer prices (%) [17.13.1]",,Index,,133.7
2024,"Annual inflation, consumer prices (%) [17.13.1]",,Index,,139.7
2014,Commodity Prices (Export/import),,Index,,73.1
2015,Commodity Prices (Export/import),,Index,,76.0
2016,Commodity Prices (Export/import),,Index,,78.8
2017,Commodity Prices (Export/import),,Index,,75.5
2018,Commodity Prices (Export/import),,Index,,68.0
2019,Commodity Prices (Export/import),,Index,,68.0
2020,Commodity Prices (Export/import),,Index,,74.9
2021,Commodity Prices (Export/import),,Index,,73.3
2022,Commodity Prices (Export/import),,Index,,75.3
2023,Commodity Prices (Export/import),,Index,,71.4
2024,Commodity Prices (Export/import),,Index,,67.9
2014,Unemployment rate,,Percent,,9.7
2016,Unemployment rate,,Percent,,7.4
2019,Unemployment rate,,Percent,,13.7
2020,Unemployment rate,,Percent,,7.2
2021,Unemployment rate,,Percent,,6.1
2022,Unemployment rate,,Percent,,5.8
2024,Unemployment rate,,Percent,,9.1
